"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722008149755,0.790189,0.612691,0.013869,0.004271
1722008150702,0.790108,0.612796,0.01393,0.004157
1722008151512,0.789715,0.613314,0.013174,0.004783
1722008152469,0.766274,0.642351,0.013667,0.004752
1722008153284,0.757709,0.652427,0.013858,0.00491
1722008154254,0.757958,0.652135,0.014004,0.004805
1722008155083,0.757885,0.652215,0.014251,0.004784
1722008155980,0.757881,0.652219,0.014315,0.00467
1722008156836,0.757791,0.652321,0.014374,0.004807
1722008157782,0.757814,0.652294,0.01444,0.00475
1722008159525,0.75781,0.652292,0.014636,0.004904
1722008160480,0.757722,0.652407,0.013865,0.005586
1722008161328,0.743103,0.669007,0.013961,0.005793
1722008162290,0.722279,0.691429,0.014304,0.005892
1722008163098,0.717827,0.696044,0.014535,0.005973
1722008163905,0.717827,0.696043,0.014612,0.005975
1722008164727,0.717795,0.696071,0.014771,0.006075
1722008166638,0.717666,0.696201,0.014876,0.006185
1722008167455,0.717652,0.696213,0.014974,0.006259
1722008168470,0.717464,0.696411,0.01475,0.006298
1722008169340,0.717387,0.696489,0.014836,0.00632
1722008170301,0.71732,0.69656,0.014536,0.006714
1722008171195,0.712027,0.70197,0.014429,0.006957
1722008172110,0.697805,0.716103,0.014765,0.006803
1722008173621,0.687821,0.72569,0.015043,0.007096
1722008174651,0.687796,0.725688,0.016857,0.00537
1722008175632,0.687781,0.725702,0.016896,0.005373
1722008176562,0.687751,0.725726,0.017055,0.005414
1722008177410,0.687602,0.725866,0.016977,0.00571
1722008178442,0.687505,0.725958,0.017012,0.005673
1722008179292,0.687421,0.726038,0.016936,0.005808
1722008180563,0.687304,0.72615,0.016912,0.005822
1722008181632,0.683786,0.729469,0.016581,0.006149
1722008182666,0.656781,0.753866,0.016927,0.006162
1722008183485,0.656724,0.753904,0.017755,0.005228
1722008184473,0.656675,0.753947,0.017731,0.005219
1722008185293,0.656607,0.754006,0.017764,0.005237
1722008186593,0.656453,0.75414,0.017688,0.005425
1722008187662,0.656356,0.754224,0.017702,0.005509
1722008188699,0.656278,0.754291,0.017737,0.005493
1722008189517,0.656161,0.754394,0.017672,0.005538
1722008190551,0.655231,0.755212,0.016906,0.006431
1722008191712,0.622461,0.782429,0.01743,0.00649
1722008192704,0.619569,0.784719,0.01755,0.006474
1722008193562,0.619641,0.784666,0.017213,0.006906
