"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722011762786,6.064428,3.175088,-39.673637
1722011765023,5.920886,3.289663,-39.341843
1722011766809,6.045231,3.16992,-39.674011
1722011768584,6.242419,4.129806,-39.729927
1722011770886,6.14983,4.189878,-39.446911
1722011773384,6.237016,4.166303,-39.710453
1722011774964,6.343524,5.167002,-39.766956
1722011776701,6.234064,5.264703,-39.446541
1722011780763,6.402642,6.225631,-39.815823
1722011783168,6.279979,6.306549,-39.457947
1722011787080,6.380691,6.535785,-39.584541
1722011788909,6.378755,7.279019,-39.61824
1722011791084,6.214205,7.331358,-39.484615
1722011793161,6.308348,7.305349,-39.462517
1722011795568,6.189317,8.338979,-39.458408
1722011799401,6.142838,8.361241,-39.390476
1722011800545,6.004908,9.401889,-39.451241
1722011804071,5.987974,9.438704,-39.449261
1722011804905,6.010615,9.421715,-39.474903
1722011806819,5.736676,10.420276,-39.482178
1722011808514,5.729794,10.421521,-39.482857
1722011810956,5.723738,10.454059,-39.4907
1722011813307,5.379114,11.414388,-39.484871
1722011815199,5.205632,11.38963,-39.462986
1722011816960,5.406252,11.40025,-39.55452
1722011818992,5.153585,12.133595,-39.613487
1722011820733,4.862484,12.27241,-39.494656
1722011823173,5.024205,12.2868,-39.506546
1722011824894,4.783473,12.826559,-39.561398
1722011826651,4.441737,13.157559,-39.516312
1722011828453,4.433678,13.136621,-39.534454
1722011835018,3.819334,14.031882,-39.486664
1722011836693,3.973923,14.058627,-39.491287
1722011838890,3.435602,14.82652,-39.484825
1722011840649,3.242417,14.826962,-39.492577
1722011842596,3.425344,14.853047,-39.544044
1722011844332,2.89422,15.485073,-39.532337
1722011846950,2.584341,15.5629,-39.463619
1722011848715,2.656738,15.563666,-39.552441
1722011850520,2.37614,15.969332,-39.52787
1722011852926,1.908099,16.226547,-39.473431
1722011855394,1.896002,16.206104,-39.457687
1722011857159,2.117183,16.199762,-39.592525
1722011860650,1.157634,16.94581,-39.561165
1722011862600,0.988133,16.969814,-39.442039
1722011864416,0.56521,17.226711,-39.450092
1722011867088,0.253118,17.428215,-39.448181
1722011868873,0.246747,17.461163,-39.458054
1722011870599,0.158222,17.487558,-39.447258
1722011873039,-0.495647,17.828604,-39.419655
1722011874986,-0.559705,17.874319,-39.442959
1722011876793,-0.591031,17.916569,-39.467304
1722011878583,-1.063022,18.071341,-39.420208
1722011881195,-1.415145,18.223206,-39.420197
1722011882951,-1.436263,18.250917,-39.429306
1722011884760,-1.84441,18.388554,-39.403458
1722011886609,-2.289151,18.51964,-39.393684
1722011888510,-2.296751,18.527,-39.408112
1722011890889,-2.400744,18.565027,-39.424892
1722011893075,-2.952447,18.664549,-39.388905
1722011895539,-3.015219,18.684021,-39.371326
1722011897306,-3.085416,18.719557,-39.411308
1722011899072,-3.7803,18.806389,-39.362602
1722011900943,-4.026957,18.800533,-39.317463
1722011902698,-4.064264,18.685953,-39.239304
1722011904576,-4.66449,18.717188,-39.219753
1722011907084,-4.944176,18.732641,-39.204945
1722011908873,-4.947684,18.771721,-39.207687
1722011911131,-5.107646,18.788166,-39.236801
1722011913248,-5.724965,18.761475,-39.227585
1722011915117,-5.651657,18.745304,-39.200333
1722011916808,-5.702137,18.774263,-39.262386
1722011918625,-6.315453,18.687727,-39.209587
1722011921174,-6.6296,18.653797,-39.222984
1722011923021,-6.621574,18.644455,-39.223854
1722011924839,-7.296624,18.465872,-39.178913
1722011927025,-7.486874,18.412056,-39.17009
1722011928775,-7.493869,18.422935,-39.170055
1722011931174,-7.999062,18.249956,-39.14497
1722011932973,-8.294883,18.127686,-39.115368
1722011935001,-8.297431,18.147804,-39.119537
1722011936863,-9.101258,17.775341,-39.062447
1722011939007,-9.146967,17.750141,-38.981537
1722011940818,-9.584393,17.489342,-38.908432
1722011942625,-10.007862,17.20986,-38.874866
1722011944461,-10.013762,17.204079,-38.868248
1722011946710,-10.738559,16.67141,-38.799046
1722011948425,-10.712444,16.673021,-38.798382
1722011950940,-11.417496,16.065323,-38.730835
1722011952770,-11.434249,16.073727,-38.74184
1722011954929,-12.050234,15.43528,-38.674194
1722011957039,-12.058728,15.458515,-38.7141
1722011958855,-12.49059,14.970168,-38.683895
1722011960586,-12.659598,14.758001,-38.666645
1722011962429,-12.819192,14.534544,-38.649895
1722011964931,-13.230806,13.910753,-38.554348
1722011967306,-13.243902,13.951617,-38.617275
1722011968903,-13.719298,13.115347,-38.561764
1722011970701,-13.700819,13.085592,-38.53809
1722011973383,-14.225433,11.984377,-38.458004
1722011975156,-14.160748,11.996993,-38.486408
1722011976970,-14.253258,11.88892,-38.441582
1722011978754,-14.511663,11.185789,-38.384579
1722011980612,-14.589844,10.96343,-38.381966
1722011982910,-14.758023,10.119246,-38.324181
1722011984747,-14.811265,10.125743,-38.332413
1722011986545,-14.913524,9.809023,-38.311863
1722011988889,-15.044592,9.088894,-38.248428
1722011990678,-15.099673,8.776685,-38.233696
1722011992574,-15.179138,7.991741,-38.190388
1722011994774,-15.170263,8.003619,-38.193508
1722011996555,-15.226897,7.142251,-38.170425
1722011999184,-15.272765,6.973186,-38.416512
1722012001059,-15.221203,7.116845,-38.462475
1722012002876,-15.247994,7.089066,-38.427841
