"Time","X","Y","Z"
1722011783168,-0.987572,0.073071,-0.13915
1722011787080,-0.987643,0.073395,-0.138472
1722011788909,-0.990037,-0.014904,-0.140018
1722011791084,-0.98994,-0.015742,-0.140606
1722011793161,-0.989923,-0.015389,-0.140767
1722011795568,-0.985288,-0.096533,-0.141027
1722011799401,-0.982846,-0.116513,-0.142964
1722011800545,-0.965818,-0.217612,-0.140856
1722011804071,0,0,0
1722011804905,-0.965845,-0.218359,-0.139509
1722011806819,0,0,0
1722011808514,0,0,0
1722011810956,0,0,0
1722011813307,0,0,0
1722011815199,-0.899244,-0.417624,-0.130193
1722011816960,-0.899423,-0.417176,-0.130395
1722011818992,-0.889446,-0.438642,-0.128373
1722011820733,-0.871053,-0.474779,-0.125904
1722011823173,-0.871031,-0.474754,-0.12615
1722011824894,-0.867299,-0.481617,-0.125844
1722011826651,-0.847969,-0.515133,-0.124847
1722011828453,-0.847806,-0.515263,-0.125414
1722011835018,-0.842882,-0.523307,-0.125299
1722011836693,-0.842357,-0.523886,-0.126404
1722011838890,-0.838523,-0.530093,-0.126017
1722011840649,-0.838085,-0.530355,-0.127813
1722011842596,-0.837652,-0.530975,-0.128078
1722011844332,-0.834,-0.536585,-0.128533
1722011846950,-0.830165,-0.542071,-0.130331
1722011848715,-0.830511,-0.541784,-0.129313
1722011850520,-0.830796,-0.541557,-0.128427
1722011852926,-0.831908,-0.538908,-0.132316
1722011855394,-0.832,-0.538868,-0.131899
1722011857159,-0.832372,-0.538117,-0.132616
1722011860650,-0.832336,-0.537857,-0.133887
1722011862600,-0.829955,-0.540814,-0.136729
1722011864416,-0.83259,-0.536758,-0.136689
1722011867088,-0.84079,-0.523182,-0.139112
1722011868873,0,0,0
1722011870599,-0.84208,-0.521226,-0.138653
1722011873039,0,0,0
1722011874986,-0.44654,-0.89234,-0.065809
1722011876793,-0.445714,-0.892708,-0.066421
1722011878583,-0.423239,-0.903537,-0.067004
1722011881195,-0.343266,-0.936426,-0.072636
1722011882951,-0.338615,-0.937716,-0.077648
1722011884760,-0.320957,-0.943832,-0.078539
1722011886609,-0.238472,-0.967767,-0.080986
1722011888510,-0.238085,-0.967974,-0.079634
1722011890889,-0.239129,-0.967827,-0.078285
1722011893075,-0.195191,-0.97763,-0.078363
1722011895539,-0.166171,-0.982981,-0.078332
1722011897306,-0.165598,-0.98309,-0.078182
1722011899072,-0.132671,-0.987846,-0.080993
1722011900943,-0.090524,-0.992801,-0.078433
1722011902698,-0.091824,-0.992733,-0.077783
1722011904576,-0.084729,-0.993425,-0.076989
1722011907084,-0.036865,-0.996629,-0.073286
1722011908873,-0.036089,-0.996565,-0.07454
1722011911131,-0.035253,-0.99654,-0.075268
1722011913248,0.026785,-0.996786,-0.075503
1722011915117,0.025303,-0.996927,-0.074131
