"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722011738748,0.297163,0.033532,0.003625,0.954231
1722011741163,0.296476,0.033124,0.003531,0.954459
1722011742913,0.296081,0.03331,0.003816,0.954574
1722011745337,0.268493,0.034311,0.002516,0.962667
1722011746892,0.268311,0.034481,0.00252,0.962712
1722011748699,0.267646,0.034295,0.002927,0.962902
1722011750879,0.225305,0.035175,0.001932,0.973651
1722011752640,0.224841,0.035486,0.001336,0.973748
1722011754470,0.218888,0.035559,0.000906,0.975102
1722011756906,0.18787,0.036179,0.000084,0.981527
1722011758673,0.187439,0.036265,0.000471,0.981606
1722011761234,0.185645,0.036077,0.001395,0.981953
1722011762786,0.150556,0.036786,-0.000088,0.987917
1722011765023,0.150206,0.036057,0.000469,0.987997
1722011766809,0.149967,0.035402,0.000762,0.988057
1722011768584,0.107892,0.035686,0.000164,0.993522
1722011770886,0.107356,0.035751,0.000412,0.993578
1722011773384,0.10687,0.035867,0.000894,0.993626
1722011774964,0.051711,0.036468,-0.000144,0.997996
1722011776701,0.051387,0.036215,-0.000125,0.998022
1722011780763,0.009081,0.035413,-0.000599,0.999331
1722011783168,0.008705,0.035127,-0.000274,0.999345
1722011787080,-0.060082,0.034891,-0.000859,0.997583
1722011788909,-0.064093,0.034949,-0.000576,0.997332
1722011791084,-0.064354,0.034897,-0.000206,0.997317
1722011793161,-0.064788,0.034913,0.001146,0.997288
1722011795568,-0.138401,0.035504,-0.00002,0.98974
1722011799401,-0.138843,0.035457,0.000811,0.989679
1722011800545,-0.179279,0.035062,0.000869,0.983173
1722011804071,-0.179729,0.03459,0.000859,0.983108
1722011804905,-0.189239,0.034135,0.002018,0.981335
1722011806819,-0.218638,0.033713,0.001614,0.975222
1722011808514,-0.218919,0.033085,0.001992,0.97518
1722011810956,-0.231128,0.032737,0.00221,0.97237
1722011813307,-0.257776,0.032127,0.000373,0.96567
1722011815199,-0.258145,0.031782,0.000822,0.965583
1722011816960,-0.258425,0.031534,0.001102,0.965516
1722011818992,-0.311058,0.031716,0.000551,0.949861
1722011820733,-0.311412,0.031773,0.000905,0.949743
1722011823173,-0.31174,0.031729,0.001033,0.949637
1722011824894,-0.337941,0.031764,0.001201,0.94063
1722011826651,-0.338186,0.031459,0.000033,0.940553
1722011828453,-0.33836,0.031169,0.000405,0.9405
1722011835018,-0.384563,0.031206,0.000421,0.922571
1722011836693,-0.384806,0.031292,0.000763,0.922467
1722011838890,-0.422477,0.031246,-0.000438,0.905835
1722011840649,-0.422773,0.031269,-0.000459,0.905696
1722011842596,-0.422966,0.031459,0.000449,0.905599
1722011844332,-0.464703,0.031257,-0.000126,0.884915
1722011846950,-0.46493,0.030646,0.000011,0.884817
1722011848715,-0.465297,0.030006,-0.000046,0.884646
1722011850520,-0.49857,0.029647,0.000396,0.866342
1722011852926,-0.498773,0.029031,-0.000199,0.866246
1722011855394,-0.499161,0.029015,0.000021,0.866023
1722011857159,-0.499575,0.02941,0.001444,0.86577
1722011860650,-0.518401,0.02813,0.000184,0.854675
1722011862600,-0.518839,0.027854,0.000517,0.854418
1722011864416,-0.551352,0.028355,0.001351,0.83379
1722011867088,-0.560968,0.027887,0.000576,0.827367
1722011868873,-0.561185,0.028281,0.001766,0.827205
1722011870599,-0.581487,0.028387,0.002316,0.813057
1722011873039,-0.603398,0.028039,0.002235,0.796944
1722011874986,-0.603604,0.026812,0.001201,0.796832
1722011876793,-0.603838,0.026457,0.001036,0.796668
1722011878583,-0.645294,0.026762,0.001324,0.763464
1722011881195,-0.651091,0.026484,0.001282,0.758537
1722011882951,-0.65139,0.026547,0.001556,0.758277
1722011884760,-0.680251,0.026291,0.001425,0.732506
1722011886609,-0.6853,0.025462,0.000913,0.727815
1722011888510,-0.685532,0.025009,0.000766,0.727613
1722011890889,-0.701506,0.025003,0.0008,0.712224
1722011893075,-0.716691,0.024904,0.001224,0.696945
1722011895539,-0.716897,0.024592,0.001109,0.696745
1722011897306,-0.717113,0.024188,0.000991,0.696536
1722011899072,-0.756642,0.024619,0.001117,0.653365
1722011900943,-0.756981,0.022416,-0.001263,0.653051
1722011902698,-0.757133,0.022325,-0.000876,0.652879
1722011904576,-0.774745,0.022396,-0.000431,0.631877
1722011907084,-0.775532,0.021228,-0.001465,0.63095
