sep=,
"Time","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean","stdTM5418300110010548962.mean"
1720437532000,-0.026410000000000003,-0.8339245,0.5512455
1720437534000,-0.026,-0.833811,0.551438
1720437536000,-0.025516,-0.83329,0.552247
1720437538000,-0.026036,-0.83382,0.551423
1720437540000,-0.026398,-0.833541,0.551827
1720437542000,-0.026525,-0.832963,0.552693
1720437544000,-0.026735,-0.833609,0.551707
1720437546000,-0.026293,-0.832789,0.552965
1720437548000,,,
1720437550000,-0.024491,-0.833,0.55273
1720437552000,-0.025932999999999998,-0.8335855,0.5517810000000001
1720437554000,-0.02476,-0.834157,0.550971
1720437556000,-0.02622,-0.833675,0.551633
1720437558000,-0.0249,-0.833627,0.551767
1720437560000,-0.026091,-0.834125,0.550959
1720437562000,-0.025307,-0.833898,0.551338
1720437564000,-0.024741,-0.833268,0.552316
1720437566000,,,
1720437568000,-0.02635,-0.833951,0.551209
1720437570000,-0.025985,-0.833856,0.55137
1720437572000,-0.025983,-0.832832,0.552915
1720437574000,-0.024845,-0.826032,0.563076
1720437576000,0.000778,-0.560046,0.828461
1720437578000,0.000726,-0.403968,0.914773
1720437580000,-0.000492,-0.39555,0.918444
1720437582000,,,
1720437584000,-0.003974,-0.3203975,0.9471814999999999
1720437586000,-0.007,-0.253863,0.967215
1720437588000,-0.007975,-0.17505,0.984527
1720437590000,-0.007689,-0.104177,0.994529
1720437592000,-0.008351,-0.072246,0.997352
1720437594000,,,
1720437596000,-0.006647,0.0131025,0.999865
1720437598000,-0.006859,0.043508,0.99903
1720437600000,-0.008184,0.042955,0.999044
1720437602000,-0.00876,0.04343,0.999018
1720437604000,-0.008274,0.043654,0.999013
1720437606000,-0.008822,0.044476,0.998972
1720437608000,-0.008368,0.043956,0.998998
1720437610000,-0.008177,0.044121,0.998993
1720437612000,-0.009698,0.044975,0.998941
1720437614000,-0.009433,0.045453,0.998922
1720437616000,-0.010384,0.044978,0.998934
1720437618000,-0.009784,0.045813,0.998902
1720437620000,,,
1720437622000,-0.011014,0.045385,0.998909
1720437624000,,,
1720437626000,-0.0095645,0.044418,0.9989665000000001
1720437628000,-0.009531,0.018686,0.99978
1720437630000,-0.010626,-0.21157,0.977305
1720437632000,-0.006776,-0.304038,0.952636
1720437634000,-0.002321,-0.367895,0.929864
1720437636000,-0.001408,-0.397744,0.917496
1720437638000,,,
1720437640000,-0.001697,-0.446418,0.894823
1720437642000,-0.002906,-0.472218,0.881477
1720437644000,-0.004183,-0.531506,0.847044
1720437646000,-0.003978,-0.599401,0.800439
1720437648000,-0.022339,-0.826485,0.562515
1720437650000,-0.024038,-0.827484,0.560975
1720437652000,0,0,0
1720437654000,0,0,0
1720437656000,0,0,0
1720437658000,0,0,0
1720437660000,0,0,0
1720437662000,,,
1720437664000,0,0,0
1720437666000,,,
1720437668000,0,0,0
1720437670000,0,0,0
1720437672000,0,0,0
1720437674000,0,0,0
1720437676000,0,0,0
1720437678000,0,0,0
1720437680000,,,
1720437682000,0,0,0
1720437684000,0,0,0
1720437686000,0,0,0
1720437688000,0,0,0
1720437690000,,,
