sep=,
"Time","stdTM5418300110010548962.sun_sensor_source"
1720438105724,4
1720438107561,4
1720438110035,4
1720438112253,4
1720438113613,4
1720438115588,4
1720438117699,4
1720438119299,4
1720438121441,4
1720438123095,4
1720438126678,4
1720438128203,4
1720438131186,4
1720438132240,4
1720438133916,4
1720438135513,4
1720438137640,4
1720438139320,4
1720438141693,4
1720438143888,4
1720438145735,4
1720438147925,4
1720438149750,4
1720438151855,4
1720438154142,4
1720438155804,4
1720438157976,4
1720438159534,5
1720438161638,5
1720438163646,5
1720438165970,5
1720438168234,5
1720438169520,5
1720438171110,5
1720438173266,5
1720438175678,5
1720438177836,5
1720438179516,5
1720438181776,5
1720438183876,5
1720438185624,5
1720438187485,5
1720438189133,5
1720438191454,5
1720438193556,5
1720438195170,5
1720438197433,5
1720438199547,5
1720438201960,5
1720438203911,5
1720438205874,3
1720438208040,3
1720438209712,3
1720438211737,3
1720438213421,3
1720438215476,3
1720438217681,3
1720438219605,3
1720438221861,3
1720438223613,3
1720438225911,3
1720438228189,3
1720438229842,3
1720438231981,3
1720438233559,3
1720438235685,3
1720438239669,3
1720438242081,3
1720438243318,3
1720438245510,3
1720438247494,3
1720438249386,3
1720438269468,3
1720438270996,3
1720438272399,3
1720438274082,3
1720438275657,3
1720438277209,3
1720438278112,3
1720438279402,3
1720438281091,3
1720438282720,3
1720438284089,3
1720438285517,3
1720438287200,3
1720438288563,3
1720438289993,3
1720438290931,3
1720438292348,3
1720438293643,3
1720438295079,3
1720438296509,3
1720438297712,3
1720438299271,3
1720438300683,3
1720438301909,3
1720438302852,3
1720438304161,3
1720438305459,3
1720438306566,3
1720438307873,5
1720438310084,5
1720438311713,5
1720438314099,5
1720438315793,5
1720438317855,5
1720438319040,5
1720438321374,5
1720438323476,5
1720438325673,5
1720438327374,5
1720438329412,5
1720438332150,5
1720438333762,5
1720438335875,4
1720438337190,4
1720438339675,4
1720438341914,4
1720438344154,4
1720438345722,4
1720438347904,4
1720438351954,4
1720438353646,4
1720438355699,4
1720438357396,4
1720438359446,4
1720438361102,4
1720438364183,4
1720438365856,4
1720438367892,5
1720438369809,5
1720438371985,5
1720438373719,5
1720438375819,5
1720438378099,5
1720438379707,5
1720438381888,5
1720438383430,5
1720438385597,5
1720438387622,5
1720438389846,5
1720438392117,5
1720438393401,5
1720438395845,5
1720438397550,5
1720438399512,5
1720438401203,5
1720438403349,5
1720438406122,5
1720438409862,5
1720438411275,5
1720438413683,5
1720438415984,5
1720438418163,4
1720438419810,4
1720438421951,4
1720438423513,4
1720438425858,4
1720438428068,4
1720438430026,4
1720438431903,4
1720438433598,4
1720438435567,4
1720438437845,4
1720438439359,4
1720438441684,4
1720438445578,4
1720438447984,4
1720438449908,4
1720438451512,4
1720438453615,4
1720438455156,4
1720438457249,4
1720438459767,4
1720438462117,4
1720438464280,4
1720438465773,4
1720438467617,4
1720438469257,4
1720438471326,4
1720438473688,4
1720438475887,4
1720438477401,4
1720438479545,4
1720438481459,4
1720438483980,4
1720438486421,4
1720438488363,4
1720438491702,4
1720438493202,4
1720438494278,4
1720438495528,4
1720438497234,4
1720438499716,4
1720438501922,4
1720438503812,4
1720438505568,4
1720438507762,4
1720438509402,4
1720438511766,4
1720438513836,4
1720438515443,4
1720438517773,4
1720438519490,4
1720438521989,4
1720438523960,4
1720438525657,4
1720438527760,4
1720438529904,4
1720438531503,4
1720438533609,4
1720438535092,4
1720438537643,4
1720438539963,4
1720438541701,4
1720438543514,4
1720438545199,4
1720438547447,4
1720438549673,4
1720438551246,4
1720438553888,4
1720438556420,4
1720438558047,4
1720438560116,4
1720438561504,4
1720438563633,4
1720438565191,4
1720438567680,4
1720438569966,4
1720438571587,4
1720438573902,4
1720438577647,4
1720438580186,4
1720438581525,4
1720438583533,4
1720438585773,4
1720438587329,4
1720438589481,4
1720438591263,4
1720438594114,4
1720438596346,4
1720438598481,4
1720438599786,4
1720438601971,4
1720438603577,4
