"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722012466644,0.45006,0.892371,0.014218,0.030293
1722012468614,0.450153,0.892324,0.013881,0.030452
1722012471395,0.45023,0.892279,0.013598,0.030761
1722012473056,0.449976,0.892433,0.013846,0.029889
1722012474861,0.40604,0.913247,0.01509,0.029733
1722012476592,0.406151,0.913201,0.014687,0.029827
1722012479061,0.406157,0.913199,0.014255,0.030001
1722012480939,0.39894,0.916376,0.014361,0.029917
1722012483101,0.369866,0.928469,0.014884,0.03038
1722012485264,0.369991,0.928416,0.014611,0.030601
1722012487098,0.369765,0.928507,0.014259,0.030755
1722012488914,0.369353,0.928681,0.014188,0.030466
1722012490671,0.34336,0.938573,0.014802,0.031074
1722012492586,0.343462,0.938528,0.01431,0.031514
1722012494996,0.343466,0.938513,0.014305,0.031936
1722012496674,0.34316,0.938604,0.014201,0.032594
1722012499120,0.306221,0.95126,0.015438,0.033105
1722012500786,0.306157,0.951233,0.01508,0.034586
1722012503010,0.30616,0.951212,0.014862,0.035237
1722012504844,0.305909,0.951271,0.014666,0.03588
1722012507408,0.248012,0.96793,0.016606,0.036422
1722012509113,0.247821,0.967931,0.015886,0.037971
1722012510893,0.247623,0.967958,0.015665,0.03866
1722012513069,0.246756,0.968192,0.015757,0.038306
1722012515286,0.217732,0.975059,0.016274,0.039844
1722012517117,0.217775,0.975028,0.016044,0.040472
1722012518925,0.217398,0.975097,0.015844,0.040894
1722012520785,0.217228,0.975155,0.015693,0.040485
1722012522591,0.189925,0.980827,0.016626,0.040375
1722012525021,0.185352,0.981692,0.016298,0.040756
1722012526863,0.185321,0.981684,0.016023,0.041174
1722012529459,0.185145,0.981702,0.015847,0.041611
1722012531185,0.169895,0.98448,0.016407,0.04082
1722012533039,0.170239,0.984362,0.015905,0.042397
1722012534859,0.169935,0.984413,0.015526,0.042575
1722012536670,0.169553,0.984473,0.015133,0.042851
1722012539067,0.133565,0.990003,0.016306,0.042301
1722012541610,0.133682,0.98995,0.016025,0.043254
1722012543420,0.133674,0.989928,0.01563,0.04393
1722012545227,0.133573,0.989922,0.015406,0.044448
1722012547012,0.095728,0.99418,0.016584,0.046548
1722012548823,0.09571,0.994171,0.016151,0.046935
1722012550686,0.095761,0.99414,0.015642,0.047654
1722012552480,0.043612,0.997784,0.01746,0.047129
1722012555046,0.012411,0.998645,0.018215,0.047132
1722012556880,0.012073,0.998622,0.017819,0.047855
1722012559078,0.012041,0.998614,0.017366,0.048207
1722012561435,-0.01965,0.998576,0.018185,0.046143
1722012563235,-0.021678,0.998505,0.017995,0.046845
1722012565038,-0.021775,0.9985,0.017754,0.046997
1722012566851,-0.021865,0.998492,0.01739,0.047252
