"Time","stdTM5418300110010548962.mag_vector_x","stdTM5418300110010548962.mag_vector_y","stdTM5418300110010548962.mag_vector_z"
1722012547012,22.750229,19.79797,-2.570718
1722012548823,22.743135,19.724998,-2.592379
1722012550686,22.781675,19.757528,-2.574172
1722012552480,22.806391,19.869667,-2.797565
1722012555046,22.842356,20.014843,-4.063525
1722012556880,22.819696,19.92301,-4.029541
1722012559078,22.864471,19.996981,-4.038037
1722012561435,22.915077,20.037647,-4.599721
1722012563235,22.911308,20.056999,-5.323487
1722012565038,22.952965,19.972164,-5.254257
1722012566851,22.970877,19.921535,-5.224732
