"Time","stdTM5418300110010548962.attitude_q0","stdTM5418300110010548962.attitude_q1","stdTM5418300110010548962.attitude_q2","stdTM5418300110010548962.attitude_q3"
1722011016614,0.46122,0.032525,-0.886253,0.027812
1722011018966,0.456672,0.032504,-0.8886,0.028018
1722011020877,0.433254,0.033264,-0.900232,0.027699
1722011023103,0.433926,0.033029,-0.8999,0.028233
1722011025259,0.434238,0.032674,-0.899751,0.028591
1722011027067,0.434803,0.032447,-0.899475,0.028941
1722011028873,0.407703,0.03342,-0.912059,0.028464
1722011030702,0.401015,0.033391,-0.915019,0.028491
1722011032511,0.401657,0.033077,-0.914729,0.029122
1722011035249,0.40168,0.032864,-0.914705,0.0298
1722011037032,0.360685,0.03441,-0.931624,0.028254
1722011038839,0.355834,0.034142,-0.93347,0.029158
1722011040676,0.356015,0.033861,-0.933403,0.02941
1722011042616,0.35615,0.033355,-0.933361,0.029691
1722011044442,0.354117,0.03322,-0.934128,0.030052
1722011047029,0.319957,0.034406,-0.946343,0.029636
1722011048832,0.320119,0.033822,-0.946296,0.030056
1722011051403,0.320051,0.033394,-0.94632,0.030501
1722011053819,0.320158,0.033092,-0.946283,0.03086
1722011054988,0.317948,0.032882,-0.947036,0.030829
1722011057176,0.243007,0.035651,-0.96895,0.028505
1722011059001,0.243236,0.03502,-0.968875,0.029857
1722011060856,0.243433,0.034531,-0.968828,0.030343
1722011062659,0.243486,0.034124,-0.968812,0.030869
1722011065532,0.20094,0.035582,-0.978539,0.028612
1722011067256,0.193168,0.035479,-0.980113,0.028377
1722011069109,0.193207,0.034986,-0.980118,0.028553
1722011070938,0.193394,0.034467,-0.980084,0.029103
1722011072748,0.193603,0.033856,-0.980051,0.029528
1722011074550,0.162229,0.034648,-0.985747,0.028013
1722011076480,0.162043,0.034045,-0.985773,0.028894
1722011079190,0.162631,0.033648,-0.985675,0.029405
1722011080969,0.163043,0.032997,-0.985621,0.029668
1722011083453,0.163042,0.032534,-0.985659,0.02889
1722011084586,0.14288,0.032938,-0.988784,0.028403
1722011086945,0.136804,0.032939,-0.989618,0.029254
1722011088769,0.13749,0.032369,-0.989524,0.029856
1722011090603,0.138115,0.031935,-0.989446,0.030032
1722011092598,0.072642,0.033798,-0.996425,0.026794
1722011094915,0.073047,0.033212,-0.996376,0.028199
1722011096739,0.073665,0.03257,-0.996349,0.028318
1722011098592,0.074379,0.032018,-0.996306,0.028571
1722011100621,0.069902,0.031611,-0.99668,0.027275
1722011102926,0.053808,0.031805,-0.997656,0.027867
1722011105123,0.054516,0.031104,-0.997631,0.028164
1722011106933,0.054829,0.030465,-0.997623,0.028529
1722011109389,0.055362,0.029802,-0.997612,0.028595
1722011110554,0.055173,0.029344,-0.997624,0.028998
1722011113309,0.055091,0.028847,-0.997643,0.029
1722011115040,0.055014,0.028324,-0.997657,0.029172
1722011116814,0.054946,0.027817,-0.997669,0.029374
1722011118495,0.055112,0.027312,-0.997665,0.029679
1722011121275,0.055159,0.026755,-0.997671,0.029914
1722011123043,0.055664,0.026165,-0.997648,0.03026
1722011125411,0.05611,0.025729,-0.997618,0.030794
1722011127051,0.056615,0.025157,-0.99759,0.031227
1722011128877,0.057133,0.024651,-0.997567,0.031424
1722011130691,0.057873,0.024161,-0.997523,0.031844
1722011133250,0.058369,0.023648,-0.997495,0.032209
1722011135076,0.05877,0.023007,-0.997479,0.032442
1722011136886,0.058908,0.022557,-0.997468,0.032847
1722011138693,0.05883,0.022186,-0.997476,0.032995
1722011140532,0.058815,0.021766,-0.997478,0.033243
1722011142855,0.058968,0.02142,-0.997466,0.033547
1722011145486,0.058997,0.020953,-0.997463,0.033882
1722011147295,0.059014,0.020446,-0.997456,0.03437
1722011149076,0.05907,0.019792,-0.997452,0.034765
1722011150887,0.059184,0.019341,-0.997441,0.035141
1722011152708,0.0591,0.018931,-0.997445,0.035392
1722011155351,0.05892,0.018475,-0.997458,0.035557
